"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C2","2","0.1uf","Capacitor_THT:CP_Radial_D4.0mm_P1.50mm",""
"2","D1","1","LED","LED_THT:LED_D5.0mm",""
"3","J1","1","Keyboard","my_libs:0.25IN_STEREO_HEADPHONE_JACK",""
"4","J2","1","+5V","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"5","J3","1","+12V","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"6","J4","1","ATX-24","Connector_Molex:Molex_Mini-Fit_Jr_5566-24A_2x12_P4.20mm_Vertical",""
"7","J5","1","-5V","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"8","J6","1","-12V","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"9","J7","1","Mac_Plus_RJ9-4P4C","Connector_RJ:RJ9_Evercom_5301-440xxx_Horizontal",""
"10","J9","1","Lisa_Power_Video_Sound_Edge","my_libs:Lisa Motherboard Power Edge",""
"11","J10","1","Power_Switch_External","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"12","J11","1","Audio_Video","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical",""
"13","J14","1","Speaker_Out","my_libs:CUI_RCJ-047",""
"14","J15","1","Arduino_Pro_Micro_5V_16MHz","Arduino:Sparkfun_Pro_Micro",""
"15","J16","1","Lisa_Floppy","my_libs:1-5530841-8_TE_CONN_60_DUAL_EDGE",""
"16","J17","1","Floppy_A","Connector_IDC:IDC-Header_2x10_P2.54mm_Vertical",""
"17","JP1","1","-5V_Selector","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"18","JP2","1","KB +5V Pin","Jumper:SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm",""
"19","JP3","1","KB GND Pin","Jumper:SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm",""
"20","JP4","1","US/UK","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm",""
"21","JP5","1","DE/FR","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm",""
"22","JP6","1","CABLE","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm",""
"23","Q1","1","2N4401BU","Package_TO_SOT_THT:TO-92",""
"24","R1","1","40K","Resistor_THT:R_Box_L8.4mm_W2.5mm_P5.08mm",""
"25","R2","1","3.3K","Resistor_THT:R_Box_L8.4mm_W2.5mm_P5.08mm",""
"26","R3","1","150","Resistor_THT:R_Box_L8.4mm_W2.5mm_P5.08mm",""
"27","SW3","1","Keyboard_Reset","Button_Switch_THT:SW_PUSH_6mm",""
"28","SW4","1","Keyboard_Mode","Button_Switch_THT:SW_PUSH_6mm",""
"29","SW5","1","Power_Button","Button_Switch_THT:SW_PUSH_6mm",""
"30","U1","1","L7905","Package_TO_SOT_THT:TO-220-3_Vertical",""
